<mfield>
       <description name="solenoid_ptarget" factory="ASCII" comment="solenoid_ptarget"/>
       <symmetry type="cylindrical-x" format="map" integration="RungeKutta" minStep="1*mm"/>
       <map>
               <coordinate>
                       <first  name="transverse" npoints="200"   min="0"  max="199"  units="cm"/>
                       <second name="longitudinal"   npoints="401"  min="-200" max="200"  units="cm"/>
               </coordinate>
               <field unit="gauss"/>
               <interpolation type="none"/>
               <shift z="-350" units="cm"/>
       </map>
</mfield>
1.000 -194.000 -0.4 27.1
1.000 -193.000 -0.4 27.5
1.000 -192.000 -0.4 27.9
1.000 -191.000 -0.4 28.4
1.000 -190.000 -0.4 28.8
1.000 -189.000 -0.5 29.3
1.000 -188.000 -0.5 29.8
1.000 -187.000 -0.5 30.2
1.000 -186.000 -0.5 30.7
1.000 -185.000 -0.5 31.2
1.000 -184.000 -0.5 31.7
1.000 -183.000 -0.5 32.3
1.000 -182.000 -0.5 32.8
1.000 -181.000 -0.5 33.3
1.000 -180.000 -0.6 33.9
1.000 -179.000 -0.6 34.5
1.000 -178.000 -0.6 35
1.000 -177.000 -0.6 35.6
1.000 -176.000 -0.6 36.3
1.000 -175.000 -0.6 36.9
1.000 -174.000 -0.6 37.5
1.000 -173.000 -0.6 38.2
1.000 -172.000 -0.7 38.8
1.000 -171.000 -0.7 39.5
1.000 -170.000 -0.7 40.2
1.000 -169.000 -0.7 40.9
1.000 -168.000 -0.7 41.7
1.000 -167.000 -0.7 42.4
1.000 -166.000 -0.8 43.2
1.000 -165.000 -0.8 44
1.000 -164.000 -0.8 44.8
1.000 -163.000 -0.8 45.6
1.000 -162.000 -0.8 46.5
1.000 -161.000 -0.9 47.4
1.000 -160.000 -0.9 48.2
1.000 -159.000 -0.9 49.2
1.000 -158.000 -0.9 50.1
1.000 -157.000 -1 51.1
1.000 -156.000 -1 52.1
1.000 -155.000 -1 53.1
1.000 -154.000 -1 54.1
1.000 -153.000 -1.1 55.2
1.000 -152.000 -1.1 56.3
1.000 -151.000 -1.1 57.4
1.000 -150.000 -1.1 58.5
1.000 -149.000 -1.2 59.7
1.000 -148.000 -1.2 60.9
1.000 -147.000 -1.2 62.2
1.000 -146.000 -1.3 63.5
1.000 -145.000 -1.3 64.8
1.000 -144.000 -1.3 66.2
1.000 -143.000 -1.4 67.6
1.000 -142.000 -1.4 69
1.000 -141.000 -1.5 70.5
1.000 -140.000 -1.5 72
1.000 -139.000 -1.6 73.6
1.000 -138.000 -1.6 75.2
1.000 -137.000 -1.6 76.8
1.000 -136.000 -1.7 78.5
1.000 -135.000 -1.7 80.3
1.000 -134.000 -1.8 82.1
1.000 -133.000 -1.9 83.9
1.000 -132.000 -1.9 85.9
1.000 -131.000 -2 87.8
1.000 -130.000 -2 89.9
1.000 -129.000 -2.1 92
1.000 -128.000 -2.2 94.2
1.000 -127.000 -2.2 96.4
1.000 -126.000 -2.3 98.7
1.000 -125.000 -2.4 101.1
1.000 -124.000 -2.4 103.5
1.000 -123.000 -2.5 106.1
1.000 -122.000 -2.6 108.7
1.000 -121.000 -2.7 111.4
1.000 -120.000 -2.8 114.2
1.000 -119.000 -2.9 117.1
1.000 -118.000 -3 120.1
1.000 -117.000 -3.1 123.2
1.000 -116.000 -3.2 126.4
1.000 -115.000 -3.3 129.7
1.000 -114.000 -3.4 133.2
1.000 -113.000 -3.5 136.7
1.000 -112.000 -3.7 140.4
1.000 -111.000 -3.8 144.2
1.000 -110.000 -3.9 148.2
1.000 -109.000 -4.1 152.3
1.000 -108.000 -4.2 156.6
1.000 -107.000 -4.4 161
1.000 -106.000 -4.6 165.6
1.000 -105.000 -4.7 170.3
1.000 -104.000 -4.9 175.3
1.000 -103.000 -5.1 180.4
1.000 -102.000 -5.3 185.7
1.000 -101.000 -5.5 191.3
1.000 -100.000 -5.8 197.1
1.000 -99.000 -6 203.1
1.000 -98.000 -6.2 209.3
1.000 -97.000 -6.5 215.8
1.000 -96.000 -6.8 222.6
1.000 -95.000 -7.1 229.7
1.000 -94.000 -7.4 237
1.000 -93.000 -7.7 244.7
1.000 -92.000 -8 252.8
1.000 -91.000 -8.4 261.1
1.000 -90.000 -8.7 269.9
1.000 -89.000 -9.1 279
1.000 -88.000 -9.5 288.6
1.000 -87.000 -10 298.6
1.000 -86.000 -10.5 309
1.000 -85.000 -10.9 320
1.000 -84.000 -11.5 331.5
1.000 -83.000 -12 343.5
1.000 -82.000 -12.6 356.1
1.000 -81.000 -13.2 369.3
1.000 -80.000 -13.9 383.2
1.000 -79.000 -14.6 397.8
1.000 -78.000 -15.3 413.1
1.000 -77.000 -16.1 429.2
1.000 -76.000 -17 446.2
1.000 -75.000 -17.9 464.1
1.000 -74.000 -18.8 482.9
1.000 -73.000 -19.9 502.7
1.000 -72.000 -21 523.6
1.000 -71.000 -22.1 545.7
1.000 -70.000 -23.4 569.1
1.000 -69.000 -24.7 593.7
1.000 -68.000 -26.1 619.8
1.000 -67.000 -27.7 647.4
1.000 -66.000 -29.3 676.7
1.000 -65.000 -31.1 707.7
1.000 -64.000 -33 740.6
1.000 -63.000 -35 775.5
1.000 -62.000 -37.2 812.6
1.000 -61.000 -39.5 852
1.000 -60.000 -42.1 894
1.000 -59.000 -44.8 938.6
1.000 -58.000 -47.7 986.2
1.000 -57.000 -50.9 1037
1.000 -56.000 -54.3 1091.1
1.000 -55.000 -58 1149
1.000 -54.000 -61.9 1210.8
1.000 -53.000 -66.2 1276.9
1.000 -52.000 -70.8 1347.6
1.000 -51.000 -75.7 1423.3
1.000 -50.000 -81 1504.3
1.000 -49.000 -86.7 1591.2
1.000 -48.000 -92.8 1684.2
1.000 -47.000 -99.3 1783.9
1.000 -46.000 -106.2 1890.7
1.000 -45.000 -113.5 2005.1
1.000 -44.000 -121.1 2127.4
1.000 -43.000 -129 2258.2
1.000 -42.000 -137 2397.6
1.000 -41.000 -145 2545.9
1.000 -40.000 -152.6 2703
1.000 -39.000 -159.5 2868.6
1.000 -38.000 -165.1 3041.9
1.000 -37.000 -168.6 3221.6
1.000 -36.000 -168.8 3405.3
1.000 -35.000 -164.2 3589.3
1.000 -34.000 -152.6 3768.4
1.000 -33.000 -131 3934.7
1.000 -32.000 -95.4 4077
1.000 -31.000 -40.6 4179.6
1.000 -30.000 40.1 4220.9
1.000 -29.000 155 4171.6
1.000 -28.000 313.5 3993.3
1.000 -27.000 525.8 3637
1.000 -26.000 800 3043
1.000 -25.000 1139.8 2144
1.000 -24.000 1539.7 871.1
1.000 -23.000 1982 833.7
1.000 -22.000 2436.6 3003.5
1.000 -21.000 2867.8 5633.6
1.000 -20.000 3246.4 8681.2
1.000 -19.000 3561.4 12079.1
1.000 -18.000 3823.4 15761.5
1.000 -17.000 4051.6 19686.9
1.000 -16.000 4243.9 23837.5
1.000 -15.000 4347 28174.1
1.000 -14.000 4267.9 32565.9
1.000 -13.000 3939 36770.1
1.000 -12.000 3378.4 40505.1
1.000 -11.000 2686.8 43563.3
1.000 -10.000 1991.3 45879.2
1.000 -9.000 1386.8 47516.9
1.000 -8.000 913 48609
1.000 -7.000 568.5 49298.5
1.000 -6.000 332.2 49708.6
1.000 -5.000 178.6 49934.5
1.000 -4.000 84.8 50045.7
1.000 -3.000 32.7 50090.9
1.000 -2.000 8.1 50102.7
1.000 -1.000 0.1 50102.2
1.000 0.000 0 50100.8
1.000 1.000 0.1 50102.2
1.000 2.000 8.1 50102.7
1.000 3.000 32.7 50090.9
1.000 4.000 84.8 50045.7
1.000 5.000 178.6 49934.5
1.000 6.000 332.2 49708.6
1.000 7.000 568.5 49298.5
1.000 8.000 913 48609
1.000 9.000 1386.8 47516.9
1.000 10.000 1991.3 45879.2
1.000 11.000 2686.8 43563.3
1.000 12.000 3378.4 40505.1
1.000 13.000 3939 36770.1
1.000 14.000 4267.9 32565.9
1.000 15.000 4347 28174.1
1.000 16.000 4243.9 23837.5
1.000 17.000 4051.6 19686.9
1.000 18.000 3823.4 15761.5
1.000 19.000 3561.4 12079.1
1.000 20.000 3246.4 8681.2
1.000 21.000 2867.8 5633.6
1.000 22.000 2436.6 3003.5
1.000 23.000 1982 833.7
1.000 24.000 1539.7 871.1
1.000 25.000 1139.8 2144
1.000 26.000 800 3043
1.000 27.000 525.8 3637
1.000 28.000 313.5 3993.3
1.000 29.000 155 4171.6
1.000 30.000 40.1 4220.9
1.000 31.000 -40.6 4179.6
1.000 32.000 -95.4 4077
1.000 33.000 -131 3934.7
1.000 34.000 -152.6 3768.4
1.000 35.000 -164.2 3589.3
1.000 36.000 -168.8 3405.3
1.000 37.000 -168.6 3221.6
1.000 38.000 -165.1 3041.9
1.000 39.000 -159.5 2868.6
1.000 40.000 -152.6 2703
1.000 41.000 -145 2545.9
1.000 42.000 -137 2397.6
1.000 43.000 -129 2258.2
1.000 44.000 -121.1 2127.4
1.000 45.000 -113.5 2005.1
1.000 46.000 -106.2 1890.7
1.000 47.000 -99.3 1783.9
1.000 48.000 -92.8 1684.2
1.000 49.000 -86.7 1591.2
1.000 50.000 -81 1504.3
1.000 51.000 -75.7 1423.3
1.000 52.000 -70.8 1347.6
1.000 53.000 -66.2 1276.9
1.000 54.000 -61.9 1210.8
1.000 55.000 -58 1149
1.000 56.000 -54.3 1091.1
1.000 57.000 -50.9 1037
1.000 58.000 -47.7 986.2
1.000 59.000 -44.8 938.6
1.000 60.000 -42.1 894
1.000 61.000 -39.5 852
1.000 62.000 -37.2 812.6
1.000 63.000 -35 775.5
1.000 64.000 -33 740.6
1.000 65.000 -31.1 707.7
1.000 66.000 -29.3 676.7
1.000 67.000 -27.7 647.4
1.000 68.000 -26.1 619.8
1.000 69.000 -24.7 593.7
1.000 70.000 -23.4 569.1
1.000 71.000 -22.1 545.7
1.000 72.000 -21 523.6
1.000 73.000 -19.9 502.7
1.000 74.000 -18.8 482.9
1.000 75.000 -17.9 464.1
1.000 76.000 -17 446.2
1.000 77.000 -16.1 429.2
1.000 78.000 -15.3 413.1
1.000 79.000 -14.6 397.8
1.000 80.000 -13.9 383.2
1.000 81.000 -13.2 369.3
1.000 82.000 -12.6 356.1
1.000 83.000 -12 343.5
1.000 84.000 -11.5 331.5
1.000 85.000 -10.9 320
1.000 86.000 -10.5 309
1.000 87.000 -10 298.6
1.000 88.000 -9.5 288.6
1.000 89.000 -9.1 279
1.000 90.000 -8.7 269.9
1.000 91.000 -8.4 261.1
1.000 92.000 -8 252.8
1.000 93.000 -7.7 244.7
1.000 94.000 -7.4 237
1.000 95.000 -7.1 229.7
1.000 96.000 -6.8 222.6
1.000 97.000 -6.5 215.8
1.000 98.000 -6.2 209.3
1.000 99.000 -6 203.1
1.000 100.000 -5.8 197.1
1.000 101.000 -5.5 191.3
1.000 102.000 -5.3 185.7
1.000 103.000 -5.1 180.4
1.000 104.000 -4.9 175.3
1.000 105.000 -4.7 170.3
1.000 106.000 -4.6 165.6
1.000 107.000 -4.4 161
1.000 108.000 -4.2 156.6
1.000 109.000 -4.1 152.3
1.000 110.000 -3.9 148.2
1.000 111.000 -3.8 144.2
1.000 112.000 -3.7 140.4
1.000 113.000 -3.5 136.7
1.000 114.000 -3.4 133.2
1.000 115.000 -3.3 129.7
1.000 116.000 -3.2 126.4
1.000 117.000 -3.1 123.2
1.000 118.000 -3 120.1
1.000 119.000 -2.9 117.1
1.000 120.000 -2.8 114.2
1.000 121.000 -2.7 111.4
1.000 122.000 -2.6 108.7
1.000 123.000 -2.5 106.1
1.000 124.000 -2.4 103.5
1.000 125.000 -2.4 101.1
1.000 126.000 -2.3 98.7
1.000 127.000 -2.2 96.4
1.000 128.000 -2.2 94.2
1.000 129.000 -2.1 92
1.000 130.000 -2 89.9
1.000 131.000 -2 87.8
1.000 132.000 -1.9 85.9
1.000 133.000 -1.9 83.9
1.000 134.000 -1.8 82.1
1.000 135.000 -1.7 80.3
1.000 136.000 -1.7 78.5
1.000 137.000 -1.6 76.8
1.000 138.000 -1.6 75.2
1.000 139.000 -1.6 73.6
1.000 140.000 -1.5 72
1.000 141.000 -1.5 70.5
1.000 142.000 -1.4 69
1.000 143.000 -1.4 67.6
1.000 144.000 -1.3 66.2
1.000 145.000 -1.3 64.8
1.000 146.000 -1.3 63.5
1.000 147.000 -1.2 62.2
1.000 148.000 -1.2 60.9
1.000 149.000 -1.2 59.7
1.000 150.000 -1.1 58.5
1.000 151.000 -1.1 57.4
1.000 152.000 -1.1 56.3
1.000 153.000 -1.1 55.2
