
      Q2           X            U            D          UBAR         DBAR          S
  3.1620E+02   4.2200E-05   3.7254E+01  -4.9641E+01   2.0635E+01  -6.6016E+01  -1.2795E+02
  3.1620E+02   5.6200E-05   3.2923E+01  -4.3100E+01   1.7632E+01  -5.3041E+01  -1.0055E+02
  3.1620E+02   7.5000E-05   2.9180E+01  -3.7426E+01   1.5114E+01  -4.2613E+01  -7.8792E+01
  3.1620E+02   1.0000E-04   2.5956E+01  -3.2548E+01   1.3011E+01  -3.4317E+01  -6.1709E+01
  3.1620E+02   1.3300E-04   2.3173E+01  -2.8369E+01   1.1247E+01  -2.7740E+01  -4.8357E+01
  3.1620E+02   1.7800E-04   2.0684E+01  -2.4674E+01   9.7125E+00  -2.2368E+01  -3.7619E+01
  3.1620E+02   2.3700E-04   1.8535E+01  -2.1531E+01   8.4205E+00  -1.8148E+01  -2.9328E+01
  3.1620E+02   3.1600E-04   1.6627E+01  -1.8789E+01   7.2990E+00  -1.4748E+01  -2.2772E+01
  3.1620E+02   4.2200E-04   1.4925E+01  -1.6395E+01   6.3201E+00  -1.2007E+01  -1.7597E+01
  3.1620E+02   5.6200E-04   1.3427E+01  -1.4332E+01   5.4736E+00  -9.8275E+00  -1.3575E+01
  3.1620E+02   7.5000E-04   1.2082E+01  -1.2521E+01   4.7259E+00  -8.0608E+00  -1.0399E+01
  3.1620E+02   1.0000E-03   1.0885E+01  -1.0947E+01   4.0699E+00  -6.6417E+00  -7.9227E+00
  3.1620E+02   1.3300E-03   9.8255E+00  -9.5839E+00   3.4954E+00  -5.5044E+00  -6.0039E+00
  3.1620E+02   1.7800E-03   8.8581E+00  -8.3659E+00   2.9758E+00  -4.5632E+00  -4.4773E+00
  3.1620E+02   2.3700E-03   8.0101E+00  -7.3190E+00   2.5235E+00  -3.8123E+00  -3.3145E+00
  3.1620E+02   3.1600E-03   7.2497E+00  -6.3967E+00   2.1200E+00  -3.1958E+00  -2.4105E+00
  3.1620E+02   4.2200E-03   6.5690E+00  -5.5830E+00   1.7600E+00  -2.6870E+00  -1.7122E+00
  3.1620E+02   5.6200E-03   5.9698E+00  -4.8749E+00   1.4437E+00  -2.2700E+00  -1.1845E+00
  3.1620E+02   7.5000E-03   5.4344E+00  -4.2469E+00   1.1618E+00  -1.9188E+00  -7.8276E-01
  3.1620E+02   1.0000E-02   4.9619E+00  -3.6948E+00   9.1445E-01  -1.6225E+00  -4.8425E-01
  3.1620E+02   1.3300E-02   4.5469E+00  -3.2105E+00   7.0013E-01  -1.3697E+00  -2.6745E-01
