solid_PVDIS_baffle_babarbafflemore1_kill_plate1.slit01.block01  |solid_PVDIS_baffle_babarbafflemore1_kill_plate1.slit01  |solid_PVDIS_baffle_babarbafflemore1_kill_plate1.slit01.block01  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 00C0C0   |                Tube  |       3.9*cm 5.44*cm 4.5*cm 176.26*deg 7.74000000000001*deg  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_baffle_babarbafflemore1_kill_plate1.slit01.block02  |solid_PVDIS_baffle_babarbafflemore1_kill_plate1.slit01  |solid_PVDIS_baffle_babarbafflemore1_kill_plate1.slit01.block02  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 00C0C0   |                Tube  |                  5.44*cm 6.98*cm 4.5*cm 176.44*deg 6.69*deg  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_baffle_babarbafflemore1_kill_plate1.slit01.block03  |solid_PVDIS_baffle_babarbafflemore1_kill_plate1.slit01  |solid_PVDIS_baffle_babarbafflemore1_kill_plate1.slit01.block03  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 00C0C0   |                Tube  |      6.98*cm 8.52*cm 4.5*cm 176.61*deg 6.05999999999997*deg  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_baffle_babarbafflemore1_kill_plate1.slit01.block04  |solid_PVDIS_baffle_babarbafflemore1_kill_plate1.slit01  |solid_PVDIS_baffle_babarbafflemore1_kill_plate1.slit01.block04  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 00C0C0   |                Tube  |                 8.52*cm 10.06*cm 4.5*cm 176.75*deg 6.03*deg  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_baffle_babarbafflemore1_kill_plate1.slit01.block05  |solid_PVDIS_baffle_babarbafflemore1_kill_plate1.slit01  |solid_PVDIS_baffle_babarbafflemore1_kill_plate1.slit01.block05  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 00C0C0   |                Tube  |     10.06*cm 11.6*cm 4.5*cm 176.89*deg 6.01000000000002*deg  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_baffle_babarbafflemore1_kill_plate1.slit01.block06  |solid_PVDIS_baffle_babarbafflemore1_kill_plate1.slit01  |solid_PVDIS_baffle_babarbafflemore1_kill_plate1.slit01.block06  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 00C0C0   |                Tube  |     11.6*cm 13.14*cm 4.5*cm 177.03*deg 5.97999999999999*deg  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_baffle_babarbafflemore1_kill_plate1.slit01.block07  |solid_PVDIS_baffle_babarbafflemore1_kill_plate1.slit01  |solid_PVDIS_baffle_babarbafflemore1_kill_plate1.slit01.block07  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 00C0C0   |                Tube  |                13.14*cm 14.68*cm 4.5*cm 177.18*deg 5.94*deg  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_baffle_babarbafflemore1_kill_plate1.slit01.block08  |solid_PVDIS_baffle_babarbafflemore1_kill_plate1.slit01  |solid_PVDIS_baffle_babarbafflemore1_kill_plate1.slit01.block08  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 00C0C0   |                Tube  |    14.68*cm 16.22*cm 4.5*cm 177.32*deg 5.92000000000002*deg  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_baffle_babarbafflemore1_kill_plate1.slit01.block09  |solid_PVDIS_baffle_babarbafflemore1_kill_plate1.slit01  |solid_PVDIS_baffle_babarbafflemore1_kill_plate1.slit01.block09  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 00C0C0   |                Tube  |    16.22*cm 17.76*cm 4.5*cm 177.46*deg 5.88999999999999*deg  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_baffle_babarbafflemore1_kill_plate1.slit01.block10  |solid_PVDIS_baffle_babarbafflemore1_kill_plate1.slit01  |solid_PVDIS_baffle_babarbafflemore1_kill_plate1.slit01.block10  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 00C0C0   |                Tube  |      17.76*cm 19.3*cm 4.5*cm 177.6*deg 5.86000000000001*deg  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
