   solid_SIDIS_gem_1  |                root  |             solid_SIDIS_gem_1  |                                 0*cm 0*cm -175*cm  |                       0*deg 0*deg 0*deg  | 111111   |                Tube  |                         36*cm 87*cm 4.8905*mm 0*deg 360*deg  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                       id manual 1100000 
solid_SIDIS_gem_1_2_26  |   solid_SIDIS_gem_1  |        solid_SIDIS_gem_1_2_26  |                               0*cm 0*cm -4.769*mm  |                    0*deg 0*deg -314*deg  | ffse14   |                Tube  |                         36*cm 87*cm 0.0015*mm -5*deg 10*deg  |        SL_gem_NOMEX  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                          id manual 2702 
solid_SIDIS_gem_1_2_27  |   solid_SIDIS_gem_1  |        solid_SIDIS_gem_1_2_27  |                               0*cm 0*cm -4.769*mm  |                    0*deg 0*deg -326*deg  | ffse14   |                Tube  |                         36*cm 87*cm 0.0015*mm -5*deg 10*deg  |        SL_gem_NOMEX  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                          id manual 2802 
solid_SIDIS_gem_1_2_28  |   solid_SIDIS_gem_1  |        solid_SIDIS_gem_1_2_28  |                               0*cm 0*cm -4.769*mm  |                    0*deg 0*deg -338*deg  | ffse14   |                Tube  |                         36*cm 87*cm 0.0015*mm -5*deg 10*deg  |        SL_gem_NOMEX  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                          id manual 2902 
solid_SIDIS_gem_1_2_29  |   solid_SIDIS_gem_1  |        solid_SIDIS_gem_1_2_29  |                               0*cm 0*cm -4.769*mm  |                    0*deg 0*deg -350*deg  | ffse14   |                Tube  |                         36*cm 87*cm 0.0015*mm -5*deg 10*deg  |        SL_gem_NOMEX  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                          id manual 3002 
solid_SIDIS_gem_1_3_0  |   solid_SIDIS_gem_1  |         solid_SIDIS_gem_1_3_0  |                              0*cm 0*cm -4.7075*mm  |                      0*deg 0*deg -2*deg  | 00ff00   |                Tube  |                           36*cm 87*cm 0.06*mm -5*deg 10*deg  |      SL_gem_NEMAG10  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                           id manual 103 
solid_SIDIS_gem_1_3_1  |   solid_SIDIS_gem_1  |         solid_SIDIS_gem_1_3_1  |                              0*cm 0*cm -4.7075*mm  |                     0*deg 0*deg -14*deg  | 00ff00   |                Tube  |                           36*cm 87*cm 0.06*mm -5*deg 10*deg  |      SL_gem_NEMAG10  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                           id manual 203 
solid_SIDIS_gem_1_3_2  |   solid_SIDIS_gem_1  |         solid_SIDIS_gem_1_3_2  |                              0*cm 0*cm -4.7075*mm  |                     0*deg 0*deg -26*deg  | 00ff00   |                Tube  |                           36*cm 87*cm 0.06*mm -5*deg 10*deg  |      SL_gem_NEMAG10  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                           id manual 303 
solid_SIDIS_gem_1_3_3  |   solid_SIDIS_gem_1  |         solid_SIDIS_gem_1_3_3  |                              0*cm 0*cm -4.7075*mm  |                     0*deg 0*deg -38*deg  | 00ff00   |                Tube  |                           36*cm 87*cm 0.06*mm -5*deg 10*deg  |      SL_gem_NEMAG10  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                           id manual 403 
solid_SIDIS_gem_1_3_4  |   solid_SIDIS_gem_1  |         solid_SIDIS_gem_1_3_4  |                              0*cm 0*cm -4.7075*mm  |                     0*deg 0*deg -50*deg  | 00ff00   |                Tube  |                           36*cm 87*cm 0.06*mm -5*deg 10*deg  |      SL_gem_NEMAG10  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                           id manual 503 
solid_SIDIS_gem_1_3_5  |   solid_SIDIS_gem_1  |         solid_SIDIS_gem_1_3_5  |                              0*cm 0*cm -4.7075*mm  |                     0*deg 0*deg -62*deg  | 00ff00   |                Tube  |                           36*cm 87*cm 0.06*mm -5*deg 10*deg  |      SL_gem_NEMAG10  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                           id manual 603 
